
2024/08/24 (14:55:51) | ===> btop++ v.1.3.2
2024/08/24 (14:55:51) | INFO: Logger set to DEBUG
2024/08/24 (14:55:51) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/24 (14:55:51) | INFO: Running on /dev/pts/0
2024/08/24 (14:55:51) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/24 (14:55:51) | DEBUG: Shared::init() : Initialized.
2024/08/24 (14:55:51) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/08/24 (17:08:59) | INFO: Quitting! Runtime: 02:13:08

2024/08/28 (15:17:19) | ===> btop++ v.1.3.2
2024/08/28 (15:17:19) | INFO: Logger set to DEBUG
2024/08/28 (15:17:19) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/28 (15:17:19) | INFO: Running on /dev/pts/0
2024/08/28 (15:17:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/28 (15:17:19) | DEBUG: Shared::init() : Initialized.
2024/08/28 (15:17:19) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/08/28 (15:17:21) | INFO: Quitting! Runtime: 00:00:02

2024/08/28 (15:17:46) | ===> btop++ v.1.3.2
2024/08/28 (15:17:46) | INFO: Logger set to DEBUG
2024/08/28 (15:17:46) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/08/28 (15:17:46) | INFO: Running on /dev/pts/1
2024/08/28 (15:17:46) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/08/28 (15:17:46) | DEBUG: Shared::init() : Initialized.
2024/08/28 (15:17:46) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/08/28 (15:19:16) | INFO: Quitting! Runtime: 00:01:30

2024/09/02 (10:37:08) | ===> btop++ v.1.3.2
2024/09/02 (10:37:08) | INFO: Logger set to DEBUG
2024/09/02 (10:37:08) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/02 (10:37:08) | INFO: Running on /dev/pts/0
2024/09/02 (10:37:08) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/02 (10:37:08) | DEBUG: Shared::init() : Initialized.
2024/09/02 (10:37:08) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme
2024/09/02 (11:34:09) | INFO: Quitting! Runtime: 00:57:01

2024/09/03 (17:57:19) | ===> btop++ v.1.3.2
2024/09/03 (17:57:19) | INFO: Logger set to DEBUG
2024/09/03 (17:57:19) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/03 (17:57:19) | INFO: Running on /dev/pts/0
2024/09/03 (17:57:19) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/03 (17:57:19) | DEBUG: Shared::init() : Initialized.
2024/09/03 (17:57:19) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/09/13 (11:57:39) | ===> btop++ v.1.3.2
2024/09/13 (11:57:39) | INFO: Logger set to DEBUG
2024/09/13 (11:57:39) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/13 (11:57:39) | INFO: Running on /dev/pts/0
2024/09/13 (11:57:39) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/13 (11:57:39) | DEBUG: Shared::init() : Initialized.
2024/09/13 (11:57:39) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/09/14 (12:18:40) | ===> btop++ v.1.3.2
2024/09/14 (12:18:40) | INFO: Logger set to DEBUG
2024/09/14 (12:18:40) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/14 (12:18:40) | INFO: Running on /dev/pts/2
2024/09/14 (12:18:40) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/14 (12:18:40) | DEBUG: Shared::init() : Initialized.
2024/09/14 (12:18:40) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/09/14 (12:21:52) | ===> btop++ v.1.3.2
2024/09/14 (12:21:52) | INFO: Logger set to DEBUG
2024/09/14 (12:21:52) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/14 (12:21:52) | INFO: Running on /dev/pts/2
2024/09/14 (12:21:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/14 (12:21:52) | DEBUG: Shared::init() : Initialized.
2024/09/14 (12:21:52) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/09/18 (11:57:20) | ===> btop++ v.1.3.2
2024/09/18 (11:57:20) | INFO: Logger set to DEBUG
2024/09/18 (11:57:20) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/09/18 (11:57:20) | INFO: Running on /dev/pts/0
2024/09/18 (11:57:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/09/18 (11:57:20) | DEBUG: Shared::init() : Initialized.
2024/09/18 (11:57:20) | DEBUG: Loading theme file: /home/zvdy/.config/btop/themes/catppuccin_mocha.theme

2024/09/25 (10:57:17) | ===> btop++ v.1.3.2
